code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,  pass/s_n,  kost/p_n,   p_n_max,   correct/k_n,   discl_n,           FER 
10000,       200,        0.0003,    0.86005079,   15.09090909,   13.52000000,    0.77474406,        16,      1000,         0,          9999,        28,    0.12000000
10000,       200,        0.0005,    1.08203481,   30.35772358,   27.58500000,    0.92512011,        16,      1000,         0,          9999,        67,    0.38500000
10000,       200,        0.0302,    1.44543368,   71.13500000,   71.13500000,    1.44543368,        16,      1000,         0,         10000,      2827,    0.00000000
10000,       200,        0.0008,    1.18806509,   41.70454545,   38.72000000,    1.08427300,        16,      1000,         0,          9999,       105,    0.34000000
10000,       200,        0.0602,    1.53145877,   66.35500000,   66.35500000,    1.53145877,        16,      1000,         0,         10000,      5029,    0.00000000
10000,       200,        0.0010,    1.14467962,   44.41139241,   44.15500000,    1.10284600,        16,      1000,         0,          9999,       130,    0.21000000
10000,       200,        0.0902,    1.60787559,   62.80000000,   62.80000000,    1.60787559,        16,      1000,         0,         10000,      7031,    0.00000000
10000,       200,        0.1202,    1.65982317,   60.61500000,   60.61500000,    1.65982317,        16,      1000,         0,         10000,      8798,    0.00000000
10000,       200,        0.0013,    1.16209159,   48.66666667,   48.70000000,    1.15183151,        16,      1000,         0,          9999,       161,    0.05500000
10000,       200,        0.0305,    1.44631478,   70.22000000,   70.22000000,    1.44631478,        16,      1000,         0,         10000,      2847,    0.00000000
10000,       200,        0.0015,    1.21581844,   55.83769634,   56.20500000,    1.20915495,        16,      1000,         0,          9999,       197,    0.04500000
10000,       200,        0.0605,    1.53118202,   66.79000000,   66.79000000,    1.53118202,        16,      1000,         0,         10000,      5044,    0.00000000
10000,       200,        0.0018,    1.25854398,   61.43147208,   61.60500000,    1.25702453,        16,      1000,         0,          9999,       233,    0.01500000
10000,       200,        0.0307,    1.44891796,   70.71500000,   70.71500000,    1.44891796,        16,      1000,         0,         10000,      2870,    0.00000000
10000,       200,        0.0905,    1.60719642,   62.62000000,   62.62000000,    1.60719642,        16,      1000,         0,         10000,      7041,    0.00000000
10000,       200,        0.1205,    1.66153069,   60.45000000,   60.45000000,    1.66153069,        16,      1000,         0,         10000,      8819,    0.00000000
10000,       200,        0.0020,    1.24101877,   63.41708543,   63.51000000,    1.24074716,        16,      1000,         0,          9999,       258,    0.00500000
10000,       200,        0.0607,    1.53299651,   66.70500000,   66.70500000,    1.53299651,        16,      1000,         0,         10000,      5065,    0.00000000
10000,       200,        0.0310,    1.44787940,   70.49000000,   70.49000000,    1.44787940,        16,      1000,         0,         10000,      2886,    0.00000000
10000,       200,        0.0023,    1.29313614,   65.49246231,   65.58000000,    1.29290063,        16,      1000,         0,          9999,       297,    0.00500000
10000,       200,        0.0907,    1.60812304,   62.36000000,   62.36000000,    1.60812304,        16,      1000,         0,         10000,      7059,    0.00000000
10000,       200,        0.0025,    1.28731051,   65.74500000,   65.74500000,    1.28731051,        16,      1000,         0,         10000,       324,    0.00000000
10000,       200,        0.1207,    1.66081017,   60.23500000,   60.23500000,    1.66081017,        16,      1000,         0,         10000,      8827,    0.00000000
10000,       200,        0.0312,    1.44788473,   67.93000000,   67.93000000,    1.44788473,        16,      1000,         0,         10000,      2904,    0.00000000
10000,       200,        0.0610,    1.53309055,   66.54000000,   66.54000000,    1.53309055,        16,      1000,         0,         10000,      5080,    0.00000000
10000,       200,        0.0027,    1.31128712,   68.63000000,   68.63000000,    1.31128712,        16,      1000,         0,         10000,       358,    0.00000000
10000,       200,        0.0315,    1.44938020,   68.48500000,   68.48500000,    1.44938020,        16,      1000,         0,         10000,      2925,    0.00000000
10000,       200,        0.0030,    1.30438611,   71.07500000,   71.07500000,    1.30438611,        16,      1000,         0,         10000,       384,    0.00000000
10000,       200,        0.0612,    1.53218944,   65.69000000,   65.69000000,    1.53218944,        16,      1000,         0,         10000,      5092,    0.00000000
10000,       200,        0.0910,    1.60973228,   62.96500000,   62.96500000,    1.60973228,        16,      1000,         0,         10000,      7079,    0.00000000
