code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
4000,        20,        0.0200,    0.73421792,    0.00000000,    0.00000000,    0.85000000,         0,       206,       266,          3794,        44,    1.00000000
1944,        20,        0.0200,    0.92900066,    0.00000000,    0.00000000,    0.83330000,        33,        84,       152,          1827,        22,    1.00000000
1944,        20,        0.0200,    0.87132175,    0.00000000,    0.00000000,    0.83330000,        33,       101,       152,          1810,        22,    1.00000000
1944,        20,        0.1000,    0.95665514,    0.00000000,    0.00000000,    0.50000000,         0,       181,       439,          1763,        35,    1.00000000
1944,        20,        0.0200,    0.81254909,    0.00000000,    0.00000000,    0.83330000,        33,       118,       152,          1793,        22,    1.00000000
1944,        20,        0.1000,    0.94656737,    0.00000000,    0.00000000,    0.50000000,         0,       196,       439,          1748,        35,    1.00000000
4000,        20,        0.0200,    0.68371933,    0.00000000,    0.00000000,    0.85000000,         0,       236,       266,          3764,        44,    1.00000000
1944,        20,        0.0200,    0.75265128,    0.00000000,    0.00000000,    0.83330000,        33,       135,       152,          1776,        22,    1.00000000
4000,        20,        0.1000,    1.20274096,    0.00000000,    0.00000000,    0.50000000,       500,        59,       864,          3441,        72,    0.00000000
1944,        20,        0.0200,    0.69159569,    0.00000000,    0.00000000,    0.83330000,        33,       152,       152,          1759,        22,    1.00000000
4000,        20,        0.1000,    1.04184739,    0.00000000,    0.00000000,    0.50000000,         0,        89,       864,          3911,        72,    1.00000000
1944,        20,        0.1000,    0.93630498,    0.00000000,    0.00000000,    0.50000000,         0,       211,       439,          1733,        35,    1.00000000
1944,        20,        0.0200,    1.20906245,    0.00000000,    0.00000000,    0.83330000,        49,         0,       152,          1895,        22,    0.80000000
4000,        20,        0.0200,    0.63240929,    0.00000000,    0.00000000,    0.85000000,         0,       266,       266,          3734,        44,    1.00000000
1944,        20,        0.0200,    1.15915466,    0.00000000,    0.00000000,    0.83330000,        49,        16,       152,          1879,        22,    1.00000000
1944,        20,        0.1000,    0.92516078,    0.00000000,    0.00000000,    0.50000000,         0,       227,       439,          1717,        35,    1.00000000
1944,        20,        0.0200,    1.10518784,    0.00000000,    0.00000000,    0.83330000,        49,        33,       152,          1862,        22,    0.95000000
1944,        20,        0.1000,    0.91452281,    0.00000000,    0.00000000,    0.50000000,         0,       242,       439,          1702,        35,    1.00000000
1944,        20,        0.0200,    1.05022651,    0.00000000,    0.00000000,    0.83330000,        49,        50,       152,          1845,        22,    0.95000000
1944,        20,        0.1000,    0.90369566,    0.00000000,    0.00000000,    0.50000000,         0,       257,       439,          1687,        35,    1.00000000
1944,        20,        0.0200,    0.99424292,    0.00000000,    0.00000000,    0.83330000,        49,        67,       152,          1828,        22,    1.00000000
4000,        20,        0.0200,    1.06691780,    0.00000000,    0.00000000,    0.85000000,        24,         0,       266,          3976,        44,    0.90000000
1944,        20,        0.0200,    0.93720829,    0.00000000,    0.00000000,    0.83330000,        49,        84,       152,          1811,        22,    1.00000000
1944,        20,        0.1000,    0.89267424,    0.00000000,    0.00000000,    0.50000000,         0,       272,       439,          1672,        35,    1.00000000
1944,        20,        0.0200,    0.87909274,    0.00000000,    0.00000000,    0.83330000,        49,       101,       152,          1794,        22,    1.00000000
