code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,  pass/s_n,  kost/p_n,   p_n_max,   correct/k_n,   discl_n,           FER 
10000,       200,        0.0003,    0.86496439,   14.72988506,   13.07500000,    0.77578819,         4,       730,         0,          9999,        28,    0.13000000
10000,       200,        0.0005,    1.14327937,   29.24864865,   28.75000000,    1.11636586,         4,       730,         0,          9999,        70,    0.07500000
10000,       200,        0.0302,    1.25220515,   33.00000000,   33.00000000,    1.24329873,         4,       730,         0,          9995,      2449,    0.81500000
10000,       200,        0.0602,    1.30127005,   29.00000000,   29.00000000,    1.29658843,         4,       730,         0,          9993,      4273,    0.93500000
10000,       200,        0.0008,    1.20554315,   33.12429379,   32.88000000,    1.17804522,         4,       730,         0,          9999,       106,    0.11500000
10000,       200,        0.0902,    1.33159736,   27.25000000,   27.54500000,    1.32642704,         4,       730,         0,          9991,      5823,    0.96000000
10000,       200,        0.1202,    1.37677577,   25.00000000,   25.00000000,    1.37602588,         4,       730,         0,          9988,      7298,    0.99500000
10000,       200,        0.0305,    1.25252590,   33.00000000,   33.00000000,    1.24279578,         4,       730,         0,          9995,      2466,    0.85500000
10000,       200,        0.0010,    1.14610324,   35.76063830,   35.89000000,    1.13624433,         4,       730,         0,          9999,       130,    0.06000000
10000,       200,        0.0013,    1.10902009,   34.68852459,   34.88500000,    1.09644458,         4,       730,         0,          9999,       153,    0.08500000
10000,       200,        0.0605,    1.30522269,   29.00000000,   29.00000000,    1.29830006,         4,       730,         0,          9992,      4299,    0.94000000
10000,       200,        0.0307,    1.25469006,   33.00000000,   33.00000000,    1.24766554,         4,       730,         0,          9995,      2486,    0.85000000
10000,       200,        0.0905,    1.32926594,   27.33333333,   27.49000000,    1.32590740,         4,       730,         0,          9990,      5824,    0.98500000
10000,       200,        0.0015,    1.15175215,   37.90285714,   38.14000000,    1.13631244,         4,       730,         0,          9999,       186,    0.12500000
10000,       200,        0.1205,    1.37802368,   25.00000000,   25.00000000,    1.37710996,         4,       730,         0,          9989,      7314,    0.98000000
10000,       200,        0.0018,    1.17740759,   39.69375000,   40.69000000,    1.15637632,         4,       730,         0,          9999,       218,    0.20000000
10000,       200,        0.0607,    1.30516012,   29.00000000,   29.00000000,    1.29867299,         4,       730,         0,          9992,      4312,    0.95500000
10000,       200,        0.0310,    1.25380492,   33.00000000,   33.00000000,    1.24713439,         4,       730,         0,          9995,      2499,    0.81500000
