code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,  pass/s_n,  kost/p_n,   p_n_max,   correct/k_n,   discl_n,           FER 
10000,       200,        0.0325,    3.55274449,   11.58000000,   11.58000000,    3.55274449,         4,       100,         0,         10000,      7346,    0.00000000
10000,       200,        0.0065,    2.86397544,   15.08500000,   15.08500000,    2.86397544,         4,       100,         0,         10000,      1620,    0.00000000
10000,       200,        0.0068,    2.87863896,   14.87500000,   14.87500000,    2.87863896,         4,       100,         0,         10000,      1680,    0.00000000
10000,       200,        0.0617,    3.99625608,    9.34000000,    9.34000000,    3.99625608,         4,       100,         0,         10000,     13361,    0.00000000
10000,       200,        0.0328,    3.55803410,   11.51500000,   11.51500000,    3.55803410,         4,       100,         0,         10000,      7400,    0.00000000
10000,       200,        0.0070,    2.88655395,   15.29500000,   15.29500000,    2.88655395,         4,       100,         0,         10000,      1736,    0.00000000
10000,       200,        0.0912,    4.35147005,    8.95000000,    8.95000000,    4.35147005,         4,       100,         0,         10000,     19173,    0.00000000
10000,       200,        0.0073,    2.89728012,   15.08000000,   15.08000000,    2.89728012,         4,       100,         0,         10000,      1794,    0.00000000
10000,       200,        0.0075,    2.91285145,   15.22500000,   15.22500000,    2.91285145,         4,       100,         0,         10000,      1856,    0.00000000
10000,       200,        0.0330,    3.56165184,   11.45500000,   11.45500000,    3.56165184,         4,       100,         0,         10000,      7451,    0.00000000
10000,       200,        0.1212,    4.74009140,    5.00000000,    5.00000000,    4.74009140,         4,       100,         0,         10000,     25262,    0.00000000
10000,       200,        0.0077,    2.92694768,   15.32000000,   15.32000000,    2.92694768,         4,       100,         0,         10000,      1916,    0.00000000
10000,       200,        0.0620,    3.99922273,    9.35000000,    9.35000000,    3.99922273,         4,       100,         0,         10000,     13410,    0.00000000
10000,       200,        0.0080,    2.93274278,   15.15000000,   15.15000000,    2.93274278,         4,       100,         0,         10000,      1971,    0.00000000
10000,       200,        0.0333,    3.56689595,   11.69000000,   11.69000000,    3.56689595,         4,       100,         0,         10000,      7506,    0.00000000
10000,       200,        0.0915,    4.35438768,    8.94000000,    8.94000000,    4.35438768,         4,       100,         0,         10000,     19222,    0.00000000
10000,       200,        0.0083,    2.94489970,   15.47000000,   15.47000000,    2.94489970,         4,       100,         0,         10000,      2030,    0.00000000
10000,       200,        0.0085,    2.95783424,   15.23000000,   15.23000000,    2.95783424,         4,       100,         0,         10000,      2090,    0.00000000
10000,       200,        0.0335,    3.57118452,   11.52500000,   11.52500000,    3.57118452,         4,       100,         0,         10000,      7558,    0.00000000
10000,       200,        0.0622,    4.00280752,    9.36000000,    9.36000000,    4.00280752,         4,       100,         0,         10000,     13461,    0.00000000
10000,       200,        0.1215,    4.74330664,    5.00000000,    5.00000000,    4.74330664,         4,       100,         0,         10000,     25313,    0.00000000
10000,       200,        0.0088,    2.96858255,   15.36500000,   15.36500000,    2.96858255,         4,       100,         0,         10000,      2148,    0.00000000
10000,       200,        0.0090,    2.97574315,   15.38000000,   15.38000000,    2.97574315,         4,       100,         0,         10000,      2204,    0.00000000
10000,       200,        0.0338,    3.57566356,   11.50000000,   11.50000000,    3.57566356,         4,       100,         0,         10000,      7611,    0.00000000
10000,       200,        0.0917,    4.35689696,    8.99500000,    8.99500000,    4.35689696,         4,       100,         0,         10000,     19269,    0.00000000
10000,       200,        0.0093,    2.98879986,   15.17500000,   15.17500000,    2.98879986,         4,       100,         0,         10000,      2264,    0.00000000
10000,       200,        0.0625,    4.00680048,    9.39500000,    9.39500000,    4.00680048,         4,       100,         0,         10000,     13514,    0.00000000
10000,       200,        0.0095,    2.99217918,   15.21500000,   15.21500000,    2.99217918,         4,       100,         0,         10000,      2317,    0.00000000
10000,       200,        0.0340,    3.58131300,   11.51000000,   11.51000000,    3.58131300,         4,       100,         0,         10000,      7666,    0.00000000
10000,       200,        0.0097,    3.00492076,   15.27000000,   15.27000000,    3.00492076,         4,       100,         0,         10000,      2377,    0.00000000
