code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,  pass/s_n,  kost/p_n,   p_n_max,   correct/k_n,   discl_n,           FER 
10000,       200,      0.010000,    1.17281003,   40.64500000,  760.55000000,    1.17281003,         4,       730,         0,      10000000,       947,    0.00000000
10000,       200,      0.010250,    1.16788017,   40.45500000,  769.87000000,    1.16788017,         4,       730,         0,      10000000,       962,    0.00000000
10000,       200,      0.010500,    1.17083098,   40.02020202,  789.39500000,    1.17066984,         4,       730,         0,       9999980,       984,    0.01000000
10000,       200,      0.031750,    1.22333558,   35.50500000, 1895.51500000,    1.22333558,         4,       730,         0,      10000000,      2484,    0.00000000
10000,       200,      0.010750,    1.17424123,   39.40500000,  805.62000000,    1.17424123,         4,       730,         0,      10000000,      1006,    0.00000000
10000,       200,      0.011000,    1.17196050,   39.12500000,  817.73000000,    1.17196050,         4,       730,         0,      10000000,      1023,    0.00000000
10000,       200,      0.011250,    1.16742191,   38.19500000,  826.66000000,    1.16742191,         4,       730,         0,      10000000,      1038,    0.00000000
10000,       200,      0.011500,    1.17150209,   37.98994975,  846.07500000,    1.17142396,         4,       730,         0,       9999990,      1061,    0.00500000
10000,       200,      0.032000,    1.22267908,   35.64000000, 1902.23500000,    1.22267908,         4,       730,         0,      10000000,      2498,    0.00000000
10000,       200,      0.011750,    1.17699822,   38.89949749,  865.92000000,    1.17692774,         4,       730,         0,       9999990,      1084,    0.00500000
10000,       200,      0.012000,    1.17464528,   37.57286432,  876.48500000,    1.17457832,         4,       730,         0,       9999990,      1101,    0.00500000
10000,       200,      0.012250,    1.17148969,   37.85427136,  889.11000000,    1.17141528,         4,       730,         0,       9999990,      1117,    0.00500000
10000,       200,      0.060750,    1.26592024,   32.61000000, 3053.79000000,    1.26592024,         4,       730,         0,      10000000,      4182,    0.00000000
10000,       200,      0.032250,    1.22249045,   35.39500000, 1912.86500000,    1.22249045,         4,       730,         0,      10000000,      2512,    0.00000000
10000,       200,      0.012500,    1.17677512,   37.64500000,  906.82000000,    1.17677512,         4,       730,         0,      10000000,      1140,    0.00000000
10000,       200,      0.012750,    1.18222329,   37.67500000,  926.69000000,    1.18222329,         4,       730,         0,      10000000,      1164,    0.00000000
10000,       200,      0.013000,    1.18077961,   38.43216080,  937.74000000,    1.18078087,         4,       730,         0,       9999990,      1181,    0.00500000
10000,       200,      0.120250,    1.33356993,   27.31658291, 4836.88000000,    1.33355391,         4,       730,         0,       9999990,      7068,    0.00500000
10000,       200,      0.013250,    1.17854943,   37.70500000,  949.88000000,    1.17854943,         4,       730,         0,      10000000,      1197,    0.00000000
10000,       200,      0.032500,    1.22352049,   35.93500000, 1924.97500000,    1.22352049,         4,       730,         0,      10000000,      2529,    0.00000000
10000,       200,      0.013500,    1.18186657,   37.53000000,  967.58500000,    1.18186657,         4,       730,         0,      10000000,      1219,    0.00000000
10000,       200,      0.013750,    1.18832241,   38.78000000,  987.60000000,    1.18832241,         4,       730,         0,      10000000,      1244,    0.00000000
10000,       200,      0.014000,    1.18397246,   37.54773869,  998.27000000,    1.18399950,         4,       730,         0,       9999990,      1258,    0.00500000
10000,       200,      0.032750,    1.22534855,   36.70500000, 1939.73500000,    1.22534855,         4,       730,         0,      10000000,      2548,    0.00000000
10000,       200,      0.014250,    1.18326179,   38.15500000, 1008.61500000,    1.18326179,         4,       730,         0,      10000000,      1275,    0.00000000
10000,       200,      0.014500,    1.18705397,   38.39698492, 1026.68000000,    1.18694968,         4,       730,         0,       9999990,      1297,    0.00500000
10000,       200,      0.090500,    1.28648933,   30.44500000, 3957.58000000,    1.28648933,         4,       730,         0,      10000000,      5636,    0.00000000
10000,       200,      0.061000,    1.26418889,   32.45500000, 3057.54500000,    1.26418889,         4,       730,         0,      10000000,      4189,    0.00000000
10000,       200,      0.014750,    1.19137070,   37.70000000, 1044.61500000,    1.19137070,         4,       730,         0,      10000000,      1320,    0.00000000
10000,       200,      0.033000,    1.22528637,   36.31500000, 1948.55000000,    1.22528637,         4,       730,         0,      10000000,      2563,    0.00000000
10000,       200,      0.015000,    1.18904115,   38.85427136, 1055.88500000,    1.18893428,         4,       730,         0,       9999990,      1336,    0.00500000
10000,       200,      0.015250,    1.18742535,   38.46500000, 1067.08500000,    1.18742535,         4,       730,         0,      10000000,      1352,    0.00000000
