code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
1944,        20,        0.1000,    1.11463195,    7.25000000,   35.60000000,    0.50000000,         0,       439,       439,          1505,        35,    0.00000000
1944,        20,        0.1000,    1.11699837,    2.55000000,   29.75000000,    0.50000000,         0,        90,       439,          1854,        35,    0.00000000
1944,        20,        0.1000,    1.11904953,    5.90000000,   34.65000000,    0.50000000,         0,       333,       439,          1611,        35,    0.00000000
1944,        20,        0.1000,    1.11958060,    1.80000000,   33.95000000,    0.50000000,         0,        30,       439,          1914,        35,    0.00000000
1944,        20,        0.1000,    1.12030618,    5.10000000,   29.95000000,    0.50000000,         0,       272,       439,          1672,        35,    0.00000000
1944,        20,        0.1000,    1.12045623,    4.90000000,   34.65000000,    0.50000000,         0,       257,       439,          1687,        35,    0.00000000
1944,        20,        0.1000,    1.12106560,    6.35000000,   26.90000000,    0.50000000,         0,       363,       439,          1581,        35,    0.00000000
1944,        20,        0.1000,    1.12160915,    4.10000000,   30.50000000,    0.50000000,         0,       196,       439,          1748,        35,    0.00000000
1944,        20,        0.1000,    1.12279598,    4.75000000,   31.95000000,    0.50000000,         0,       242,       439,          1702,        35,    0.00000000
1944,        20,        0.1000,    1.12288308,    7.20000000,   30.50000000,    0.50000000,         0,       423,       439,          1521,        35,    0.00000000
1944,        20,        0.1000,    1.12292082,    2.90000000,   31.65000000,    0.50000000,         0,       105,       439,          1839,        35,    0.00000000
1944,        20,        0.1000,    1.12292166,    4.55000000,   32.30000000,    0.50000000,         0,       227,       439,          1717,        35,    0.00000000
1944,        20,        0.1000,    1.12329397,    6.60000000,   36.65000000,    0.50000000,         0,       378,       439,          1566,        35,    0.00000000
1944,        20,        0.1000,    1.12358619,    1.70000000,   31.15000000,    0.50000000,         0,        15,       439,          1929,        35,    0.00000000
1944,        20,        0.1000,    1.12362749,    4.35000000,   28.50000000,    0.50000000,         0,       211,       439,          1733,        35,    0.00000000
1944,        20,        0.1000,    1.12369110,    1.50000000,   28.95000000,    0.50000000,         0,         0,       439,          1944,        35,    0.00000000
1944,        20,        0.1000,    1.12442624,    5.80000000,   29.75000000,    0.50000000,         0,       317,       439,          1627,        35,    0.00000000
1944,        20,        0.1000,    1.12545201,    7.05000000,   32.25000000,    0.50000000,         0,       408,       439,          1536,        35,    0.00000000
1944,        20,        0.1000,    1.12556545,    6.85000000,   29.60000000,    0.50000000,         0,       393,       439,          1551,        35,    0.00000000
1944,        20,        0.1000,    1.12625358,    3.40000000,   25.30000000,    0.50000000,         0,       136,       439,          1808,        35,    0.00000000
1944,        20,        0.1000,    1.12714264,    2.60000000,   29.75000000,    0.50000000,         0,        75,       439,          1869,        35,    0.00000000
1944,        20,        0.1000,    1.12722257,    2.40000000,   33.40000000,    0.50000000,         0,        60,       439,          1884,        35,    0.00000000
1944,        20,        0.1000,    1.12730124,    2.20000000,   32.95000000,    0.50000000,         0,        45,       439,          1899,        35,    0.00000000
1944,        20,        0.1000,    1.12839033,    3.25000000,   27.35000000,    0.50000000,         0,       121,       439,          1823,        35,    0.00000000
1944,        20,        0.1000,    1.13020762,    4.10000000,   28.80000000,    0.50000000,         0,       181,       439,          1763,        35,    0.00000000
1944,        20,        0.1000,    1.13026646,    3.90000000,   27.90000000,    0.50000000,         0,       166,       439,          1778,        35,    0.00000000
1944,        20,        0.1000,    1.13056889,    6.35000000,   25.70000000,    0.50000000,         0,       348,       439,          1596,        35,    0.00000000
1944,        20,        0.1000,    1.13136015,    5.75000000,   25.85000000,    0.50000000,         0,       302,       439,          1642,        35,    0.00000000
1944,        20,        0.1000,    1.13138002,    1.20000000,   26.25000000,    0.50000000,        33,         0,       439,          1911,        35,    0.00000000
1944,        20,        0.1000,    1.13141285,    5.55000000,   26.30000000,    0.50000000,         0,       287,       439,          1657,        35,    0.00000000
1944,        20,        0.1000,    1.13240539,    3.75000000,   25.30000000,    0.50000000,         0,       151,       439,          1793,        35,    0.00000000
1944,        20,        0.1000,    1.13328826,    1.75000000,   29.75000000,    0.50000000,         0,         0,       439,          1944,        35,    0.00000000
1944,        20,        0.1000,    1.13495170,    1.55000000,   26.00000000,    0.50000000,        16,         0,       439,          1928,        35,    0.00000000
